x, C_drag
1.0000e-01, 1.6561e+00
1.0612e-01, 1.6843e+00
1.1224e-01, 1.7249e+00
1.1837e-01, 1.7597e+00
1.2449e-01, 1.7911e+00
1.3061e-01, 1.7169e+00
1.3673e-01, 1.7622e+00
1.4286e-01, 1.8030e+00
1.4898e-01, 1.8484e+00
1.5510e-01, 1.8943e+00
1.6122e-01, 1.8878e+00
1.6735e-01, 1.9413e+00
1.7347e-01, 1.9965e+00
1.7959e-01, 2.0529e+00
1.8571e-01, 2.1115e+00
1.9184e-01, 2.1429e+00
1.9796e-01, 2.2068e+00
2.0408e-01, 2.2765e+00
2.1020e-01, 2.3462e+00
2.1633e-01, 2.4209e+00
2.2245e-01, 2.4993e+00
2.2857e-01, 2.5649e+00
2.3469e-01, 2.6527e+00
2.4082e-01, 2.7437e+00
2.4694e-01, 2.8430e+00
2.5306e-01, 2.9482e+00
2.5918e-01, 3.0475e+00
2.6531e-01, 3.1669e+00
2.7143e-01, 3.2937e+00
2.7755e-01, 3.4294e+00
2.8367e-01, 3.5694e+00
2.8980e-01, 3.7134e+00
2.9592e-01, 3.8760e+00
3.0204e-01, 4.0509e+00
3.0816e-01, 4.2382e+00
3.1429e-01, 4.4398e+00
3.2041e-01, 4.6634e+00
3.2653e-01, 4.8907e+00
3.3265e-01, 5.1508e+00
3.3878e-01, 5.4264e+00
3.4490e-01, 5.7250e+00
3.5102e-01, 6.0364e+00
3.5714e-01, 6.3892e+00
3.6327e-01, 6.7693e+00
3.6939e-01, 7.1842e+00
3.7551e-01, 7.6357e+00
3.8163e-01, 8.1304e+00
3.8776e-01, 8.6879e+00
3.9388e-01, 9.2901e+00
4.0000e-01, 9.9409e+00
